Intercept,bedroom_num,floor_area,bathroom_num,city_mandal,city_manila,city_pasig,city_quezon,city_san_ju,city_taguig,VAR1,listing,location,price,type,city
1,3,283,3,0,0,0,0,0,0,2314,"3 bedroom condominium unit for sale in rizal tower, rockwell, makati","rockwell, makati",85000000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2315,for sale brand new condo in air residences makati facing amenities,"san antonio, makati",8500000,condominium,makati
1,1,34,1,0,0,0,0,0,0,2316,pre-selling condo in salcedo village - the ellis,"salcedo village, makati",11060000,condominium,makati
1,1,48,1,0,0,0,0,0,0,2317,"1-bedroom condominium unit at the eton greenbelt residences, makati","legazpi village, makati",12000000,condominium,makati
1,1,47,1,0,0,0,0,0,0,2318,for sale 1 bedroom condominium near san lorenzo village makati,"san lorenzo, makati",10500000,condominium,makati
1,3,77,2,0,0,0,0,0,0,2319,fast move in 3br 30k/mo. rent to own condo for sale in makati near moa naia3,"san lorenzo, makati",12300000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2320,2br 30k/month brand new condo in makati rent to own 10% dp only to move in,"san lorenzo, makati",6684040,condominium,makati
1,2,38,1,0,0,0,0,0,0,2321,"big discount rfo/rent to own 2bedroom makati condo nr. ayala,bgc,naia,moa,pasay","chino roces, makati",5990643,condominium,makati
1,1,69,1,0,0,0,0,0,0,2322,solstice tower 2 1 bedroom with balcony for sale,"poblacion, makati",15000000,condominium,makati
1,1,36,1,0,0,0,0,0,0,2323,"salcedo skysuites studio unit with balcony 36 sqm for sale, makati","salcedo village, makati",10161000,condominium,makati
1,3,181,4,0,0,0,0,0,0,2324,for sale in makati city parkford suites legazpi 3 bedroom unit,"legazpi village, makati",61000000,condominium,makati
1,1,28,1,0,0,0,0,0,0,2325,"for sale rfo rent to own 1 bedroom unit at san antonio residence, makati","bel-air, makati",6628000,condominium,makati
1,2,90,1,0,0,0,0,0,0,2326,"kroma tower at dela rosa, makati city","san lorenzo, makati",21000000,condominium,makati
1,3,285,2,0,0,0,0,0,0,2327,3 bedroom w 2 parking slot for sale in pacific plaza condominium at makati city,"urdaneta, makati",62000000,condominium,makati
1,3,207,3,0,0,0,0,0,0,2328,"for sale 3-bedroom | 2-parking |tower 2, garden towers, ayala center, makati","san lorenzo, makati",68000000,condominium,makati
1,3,322,3,0,0,0,0,0,0,2329,"3-bedroom unit for sale at park central towers roxas triangle, makati city","urdaneta, makati",144352000,condominium,makati
1,1,48,1,0,0,0,0,0,0,2330,"studio unit for sale in the vion tower, chino roces, makati city","chino roces, makati",12362000,condominium,makati
1,2,110,2,0,0,0,0,0,0,2331,"2 bedroom unit w/ 1 parking for sale in park terraces tower 2, makati","san lorenzo, makati",35000000,condominium,makati
1,1,59,1,0,0,0,0,0,0,2332,1br unit for sale at signa residences tower,"bel-air, makati",16000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2333,"san lorenzo place, makati rent to own 2br condo for sale 30k monthly!","san lorenzo, makati",6684048,condominium,makati
1,1,24,1,0,0,0,0,0,0,2335,makati studio unit near ayala avenue,"san antonio, makati",5200000,condominium,makati
1,1,64,1,0,0,0,0,0,0,2336,lincoln proscenium at rockwell makati,"rockwell, makati",19500000,condominium,makati
1,1,22,1,0,0,0,0,0,0,2337,studio with balcony unit for sale in makati - air residences,"san antonio, makati",6250000,condominium,makati
1,1,27,1,0,0,0,0,0,0,2338,rent to own condo for sale in makati with at least 5% dp only to move-in,"san antonio, makati",7972680,condominium,makati
1,2,118,2,0,0,0,0,0,0,2339,"for sale 2 bedroom in point tower, park terraces, ayala center makati","san lorenzo, makati",34000000,condominium,makati
1,1,68,1,0,0,0,0,0,0,2340,"fully furnished 1 bedroom unit for sale at the residences at greenbelt, san lorenzo, ...","san lorenzo, makati",21500000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2341,san lorenzo place tower 4 (1 bedroom) (ready for occupancy with discounts!!),"san lorenzo, makati",4646000,condominium,makati
1,1,62,1,0,0,0,0,0,0,2342,makati city 62 sqm unit for sale 1br w/ balcony in callisto,"carmona, makati",14800000,condominium,makati
1,2,52,1,0,0,0,0,0,0,2343,one antonio lowrise condo for sale makati rfo up to 10% discount,"san antonio, makati",18100000,condominium,makati
1,2,33,1,0,0,0,0,0,0,2344,san lorenzo place 2 bedroom rent to own condo for sale in makati near pasay,"san lorenzo, makati",6907000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2345,for sale 2 bedroom condo in makati san lorenzo place ready for occupancy,"san lorenzo, makati",6692737,condominium,makati
1,2,44,1,0,0,0,0,0,0,2346,san lorenzo place 44sqm 2 bedroom rent to own condo in makati,"san lorenzo, makati",7700994,condominium,makati
1,1,25,1,0,0,0,0,0,0,2347,1 bedroom rent to own in makati san lorenzo place akati city,"san lorenzo, makati",4537852,condominium,makati
1,2,38,1,0,0,0,0,0,0,2348,for sale san lorenzo place 2 bedroom rent to own condo in makati city,"magallanes, makati",6582924,condominium,makati
1,2,38,1,0,0,0,0,0,0,2349,for sale 38sqm 2 bedroom at san lorenzo place rent to own in makati,"magallanes, makati",7300828,condominium,makati
1,2,38,1,0,0,0,0,0,0,2350,rent to own 382 bedroom in makati san lorenzo place,"san lorenzo, makati",6601130,condominium,makati
1,2,38,1,0,0,0,0,0,0,2351,for sale 10% downpayment san lorenzo place rent to own condo in makati city,"magallanes, makati",6599173,condominium,makati
1,2,38,1,0,0,0,0,0,0,2352,2br sale condo in makati 38sqm - 600k dp move in @ 30k/month only brand new,"san lorenzo, makati",6603333,condominium,makati
1,2,38,1,0,0,0,0,0,0,2353,for sale ready for occupancy 2 bedroom 38sqm san lorenzo place in makati,"magallanes, makati",6659283,condominium,makati
1,2,44,2,0,0,0,0,0,0,2354,44sqm rfo condo in makati san lorenzo place,"san lorenzo, makati",7300000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2355,"for sale 38 sqm 2 bedroom rent to own in san lorenzo place, makati city","magallanes, makati",6607281,condominium,makati
1,2,38,1,0,0,0,0,0,0,2356,makati condominium san lorenzo place 1-2 bedroom,"san lorenzo, makati",6627473,condominium,makati
1,2,38,1,0,0,0,0,0,0,2357,2 bedroom condo in makati only 10% downpayment to move in!! san lorenzo place,"san lorenzo, makati",6620934,condominium,makati
1,2,38,1,0,0,0,0,0,0,2358,2 bedroom condo in makati san lorenzo place for sale only 10% downpayment,"san lorenzo, makati",6632269,condominium,makati
1,2,38,1,0,0,0,0,0,0,2359,rfo 2 bedroom 38sqm 30k/mon condo in makati rent to own san lorenzo place,"san lorenzo, makati",6600100,condominium,makati
1,2,44,2,0,0,0,0,0,0,2360,2br 2t&b 44sqm - 30k monthly rfo condo in makati brand new rent to own,"san lorenzo, makati",7000111,condominium,makati
1,1,28,1,0,0,0,0,0,0,2361,rush 1 bedroom rfo condominium located in san lorenzo place makati - brand new,"san lorenzo, makati",4901150,condominium,makati
1,2,38,1,0,0,0,0,0,0,2362,"for sale makati condo, 2bedroom nr.moa,naia,bgc,ayala,mandaluyong,pasay","chino roces, makati",6684000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2363,promo 1bedroom condo for sale rent to own edsa makati san lorenzo place,"chino roces, makati",4590008,condominium,makati
1,1,25,1,0,0,0,0,0,0,2364,"1 bedroom rent to own in makati san lorenzo place, makati city","san lorenzo, makati",4537852,condominium,makati
1,2,44,2,0,0,0,0,0,0,2365,for sale 44sqm 2 bedroom rfo in san lorenzo place makati city,"magallanes, makati",7307484,condominium,makati
1,2,44,2,0,0,0,0,0,0,2366,for sale 44 sqm 2 bedroom san lorenzo place rent to own in makati,"magallanes, makati",7300828,condominium,makati
1,2,38,1,0,0,0,0,0,0,2367,"for sale 38sqm 2 bedroom rent to own in san lorenzo place, makati city","magallanes, makati",6607281,condominium,makati
1,2,38,1,0,0,0,0,0,0,2368,affordable 2bedroom makati condo for sale/rent to own san lorenzo place nr. naia,"chino roces, makati",6015000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2369,"san lorenzo place 2bedroom condo for sale edsa makati nr. naia,moa,bgc","chino roces, makati",6600408,condominium,makati
1,2,44,2,0,0,0,0,0,0,2370,2 bedroom 44sqm condo in makati 700k dp rush move in brand new rent to own,"san lorenzo, makati",7000040,condominium,makati
1,2,44,2,0,0,0,0,0,0,2371,rush! 2bed 2 toilet rent to own condo in makati 30k monthly only brand new sale,"san lorenzo, makati",7001174,condominium,makati
1,1,36,1,0,0,0,0,0,0,2372,"studio condominium unit for sale at paseo parkview, makati city","salcedo village, makati",6900000,condominium,makati
1,2,48,2,0,0,0,0,0,0,2373,48sqm 2 bedroom unit near in moa and pasay taft in magallanes makati,"san lorenzo, makati",8000000,condominium,makati
1,2,52,1,0,0,0,0,0,0,2374,rfo - low rise low density 2 bedroom condo unit for sale - makati city,"legazpi village, makati",16099800,condominium,makati
1,2,118,2,0,0,0,0,0,0,2375,"2-br | 1-parking  | point tower, park terraces, ayala center makati","san lorenzo, makati",34000000,condominium,makati
1,1,23,1,0,0,0,0,0,0,2376,rent to own condo in makati city walking distance to makati cbd,"san antonio, makati",5888888,condominium,makati
1,2,98,2,0,0,0,0,0,0,2377,avida settings asten,"san antonio, makati",12000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2379,for sale 2 bedroom unit in magallanes makati along edsa,"san lorenzo, makati",6684048,condominium,makati
1,1,32,1,0,0,0,0,0,0,2380,high rise studio unit for sale at one central makati,"bel-air, makati",8000000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2381,1 bedroom rent to own in makati city san lorenzo place,"san lorenzo, makati",4600000,condominium,makati
1,3,66,2,0,0,0,0,0,0,2382,3 br midrise condo for sale in avida one antonio makati near greenbelt,"san antonio, makati",18739900,condominium,makati
1,1,40,1,0,0,0,0,0,0,2383,gramercy residences makati 1 bedroom for sale,"poblacion, makati",9500000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2384,"2 bedroom san lorenzo place makati, near magallanes mrt station","san lorenzo, makati",6000000,condominium,makati
1,2,58,1,0,0,0,0,0,0,2385,brio tower 2 bedroom condominium for sale in makati,"guadalupe viejo, makati",7500000,condominium,makati
1,3,84,2,0,0,0,0,0,0,2386,for sale dmci brio tower 3 bedroom corner unit facing golf course,"guadalupe viejo, makati",13400000,condominium,makati
1,1,45,1,0,0,0,0,0,0,2387,1-bedroom condo unit for sale,"bel-air, makati",6500000,condominium,makati
1,3,250,3,0,0,0,0,0,0,2388,"condo for sale: 47th floor laguna tower, the residences at greenbelt, makati","san lorenzo, makati",75000000,condominium,makati
1,3,77,3,0,0,0,0,0,0,2389,spacious 3-bedroom unit for sale at kingswood in makati city,"la paz, makati",6800000,condominium,makati
1,3,236,3,0,0,0,0,0,0,2390,"for sale: 6th floor 3br condo at kirov tower, proscenium, rockwell, makati city","rockwell, makati",62000000,condominium,makati
1,1,57,1,0,0,0,0,0,0,2391,1 bedroom condo unit at alpha salcedo for sale in makati,"bel-air, makati",9270400,condominium,makati
1,3,148,3,0,0,0,0,0,0,2392,"for sale: 38th floor, joya north, rockwell, makati","rockwell, makati",39000000,condominium,makati
